,Должность,Компания,Город,Минимальная заработная плата,Максимальная заработная плата,Валюта,Описание вакансии,Требования к соискателю;
"49,Разработчик Python и SQL,ООО Кадровик,Владивосток,60000,240000,[' руб.'],""Работа с корпоративным хранилищем OLAP. Разработка и сопровождение BI-систем ( QlikView, ETL ). Сбор, анализ и обработка данных."",""Знание SQL, Python. Умение разбираться в чужом коде. Полезным будет опыт работы с MySQL, MsSQL. Фреймворки : библиотеки Python - pandas, airflow. """;
"50,Data Scientist (удаленно),ИП Горбунов Илья Николаевич,Новосибирск,Не указанн,Не указанн,Не указанно,""Реализация проектов из сфер CV, OCR, NLP, семантическая сегментация, построение предиктивных моделей и других задач из сферы. Работа с подготовкой..."",""Пунктуальность, систематичность, ответственное отношение к дедлайнам. . Уверенное владения Python для ML (преимущественно nlp и cv). . Опыт реализации и применения моделей...""";
"51,Python developer,АО К-ТЕХНОЛОГИИ,Пермь,Не указанн,Не указанн,Не указанно,""Командная web-разработка, программирование. Разработка, code review, рефакторинг кода. Сопровождение и документирование написанного кода. Участие в проектировании систем. "",Опыт программирования на Python. Опыт разработки веб-приложений на одном из популярных фреймворков. Знание Django и Django REST Framework. ";
"52,Начинающий программист BI (sql/python/js),Первый Бит,""Москва, Фрунзенская"",50000,70000,[' руб.'],""Внедряем, дорабатываем, поддерживаем системы бизнес-аналитики. Делаем проекты по миграции данных и переходу с зарубежных на российские BI системы. "",""...Python, JS, HTML, CSS. Желание и готовность много и интенсивно обучаться. Доброжелательность и порядочность. Умение обрабатывать данные с помощью Python...""";
"53,Senior/Lead Python developer (SberLB),SberTech,""Москва, Кожуховская"",400000,70000,[' руб.'],""Автоматизировать процесс конфигурирования приложений для балансировки нагрузки сетевого трафика. Разрабатывать интеграции с корпоративными системами. Проектировать и разрабатывать микросервисы, API и..."",Можешь написать SQL запрос и знаешь как его оптимизировать.";
"54,Junior QA Automation (Python),ПАО Московская Биржа,""Москва, Охотный ряд"",Не указанн,Не указанн,Не указанно,""Разработка сквозных (интеграционных) автотестов (в основном backend), оптимизация и их поддержка. Участие в кросс-командном python code-review и других..."",Опыт работы в качестве Automation QA Python от 6 месяцев. Базовые знания Python 3 и фреймворка pytest (если есть знания...";
"55,Middle Python-разработчик (торговый бот),ООО Императив Медиа,Омск,Не указанн,Не указанн,Не указанно,...Python/Django. - автоматизация выполнения фоновых задач. - настройка и обновление сред выполнения кода (в том числе production). -Архитектура - микро сервисы. - Python...,""умение настройки и обновление сред в Docker. - опыт работы с различными форматами данных(json, csv, xml). - знание SQL. - """;
"56,Программист-разработчик (Junior backend - разработчик),ТОО Faceplate,Алматы,250000,Не указанн,[' KZT'],""Разработка и программирование требуемого программного обеспечения. Изучение новых продуктов, технологий и задач."",""Опыт работы 1 год на любом одном из указанных языков программирования JavaScript, Java, GO, Python, C++. Постоянное желание развиваться и...""";
"57,Разработчик Python,""билайн: ИТ, Data, Digital"",Москва,Не указанн,Не указанн,Не указанно,Развитие и поддержка существующего приложения на языке Python. Интеграция системы с другими внутренними проектами. Взаимодействие с мобильным приложением со стороны...,Опыт разработки на Python от 2-х лет. Опыт с одним из микрофреймворков Falcon или Flask в связке с ORM...";
"58,Data Scientist /Специалист по работе с данными,ТОО Dentsu Central Asia (Денцу Сентрал Эйжа),Алматы,Не указанн,Не указанн,Не указанно,""Настройка инструментов и поддержка веб-аналитики (GA, Я.Метрика). Построение и поддержка систем сквозной аналитики. Анализ эффективности рекламных каналов, ассоциированных конверсий..."",""Понимание принципов работы цифрового маркетинга. Опыт работы в SQL, Power Query, знание Python /R. GTM (Server-side Tagging), (GA4...""";
