,Должность,Компания,Город,Минимальная заработная плата,Максимальная заработная плата,Валюта,Описание вакансии,Требования к соискателю;
"399,Автор курса «Мидл python-разработчик»,Яндекс Практикум,Москва,Не указанн,Не указанн,Не указанно,Описание отсутствует,""Технические навыки: Знание, с помощью каких структур работают примитивы в python. Опыт работы с синхронными и асинхронными фреймворками. """;
"400,Ведущий разработчик Python,АО Р-Фарм,Ярославль,Не указанн,Не указанн,Не указанно,""Код-ревью, управление релизами, менторство и развитие команды разработки, решение организационных задач. Бэкенд пишем на Python 3.10, используя asyncio..."",Отличное владение python 3.6+. Опыт работы с асинхронным кодом с использованием asyncio. Опыт работы с реляционныи базами данных. ";
"401,Учитель информатики со знанием Python,ООО Инфоурок,Москва,Не указанн,Не указанн,Не указанно,""техническая поддержка (специалисты помогут и научат вас работать, даже если вы опасаетесь преподавать онлайн). С чего начать? Эксперты – педагоги, имеющие..."",В том числе студенты – начинающие специалисты 3- 4 курса педагогических ВУЗов. Опытные – дипломированные специалисты с опытом работы от года.";
"402,Senior/Middle Python Developer,Elilink,Тбилиси,2000,4000,[' USD'],""Financial Services & Banking. - Optimise for costs and efficiency (e.g.,small number of servers, colocation of multiple services per instance). "",Logistics & Supply Chain Management. Experience: min 2 years in Python development. OOP. Experience with AWS or other clouds. - ";
"403,Middle/Senior Python разработчик,ООО Рафт Диджитал Солюшенс,Воронеж,2500,3500,[' USD'],We’re a small but extremely dedicated team of developers. — Budget for courses and attending conferences. — Monthly Tech Talks for...,""...experience in Python, Typescript. — Good spoken English and solid communication skills overall. — How would you assess your Python skills on...""";
"404,ML Engineer,ООО Alif Tech,Ташкент,Не указанн,Не указанн,Не указанно,""Знаĸомство с docker. Стандартный стеĸ - numpy, pandas, scikit-learn."",""Знание Python. FAST API, sql, git. Уверенный ООП. Уверенная работа в ĸонсоле linux.""";
"405,QA Engineer (Python + pytest),EXANTE,Армения,Не указанн,Не указанн,Не указанно,формализация тестовой базы в TMS (Qase). - заведение баг-репортов (Jira). - разработка и актуализация комплекса автотестов (в перспективе). - язык программирования: Python...,""QA инженер с опытом как ручного, так и автоматизированного тестирования (фронт+бэк+дата тестирование). Умение работать в bash и базами данных. """;
"406,Data scientist (аналитик),ООО Лидгид,Санкт-Петербург,Не указанн,Не указанн,Не указанно,""Анализ больших наборов данных для извлечения выводов и закономерностей, поиска корреляций и построения гипотез. Построение отчетов и ML-модели на..."",Опыт в анализе данных и создании моделей ML. Знание Python и SQL. Умение работать с инструментами визуализации данных. ";
407,Главный программист Python/Django/PostgreSQL,Администрация города Вологды,Вологда,55000,60000,[' руб.'],Разработка и сопровождение информационных систем Администрации города Вологды. Установка и настройка необходимого специализированного программного обеспечения. Работа с системами управления версиями...,Владение Python+Django (мин. уровень: Middle). Владение JavaScript (мин. уровень: Middle). Опыт работы с PostgreSQL. Хорошее понимание клиент-серверной архитектуры. ;
408,Python Django - ментор,ООО NAJOT TA’LIM MARKAZI,Ташкент,Не указанн,Не указанн,Не указанно,Najot Ta'lim в активном поиске Python Django - ментора!,Умение свободно общаться на узбекском языке. - Опыт работы с Python не менее 2 лет. - Хорошее знание фреймворка Django. - ;
"409,AQA Python Middle,Лаборатория качества,Иннополис,Не указанн,Не указанн,Не указанно,""Разработка автотестов ( Web UI, API, DB ) на языке Python и инструментов для автоматизации. Развитие и поддержание существующих тестов. ∙ "",Опыт работы в тестировании ПО от 2 лет. Знание Python(знание фреймворка pytest) от 1 года. Опыт работы с Selenium...";
"410,Data-инженер,Тинькофф,Омск,Не указанн,Не указанн,Не указанно,Участие в разработке ядра продуктов Data Platform. Разработка и оптимизация процессов выгрузки данных.,""Знание одного из языков программирования: Python, Java, Go. Знание основ ООП, теории алгоритмов, структур данных. Знание SQL. Опыт написания процессов...""";
"411,""Инженер-программист (Middle backend-разработчик, Python)"",Частное учреждение Samruk Business Academy,Астана,Не указанн,Не указанн,Не указанно,""Оптимизация веб-приложений и веб-сайтов. Доработка функциональности на DRF, Flask или FastAPI. Работа над улучшением функциональности и микросервисов. "",""Отличные знания Python. Знание одного из фреймворков Python (DRF, Flask или FastAPI) и опыт коммерческой разработки от 3 лет. """;
"412,Python developer,JuicyScore,Санкт-Петербург,100000,250000,[' руб.'],оптимизация SQL-запросов. - подготовка unit-тестов. - создание нагрузочных тестов на Python (Locust). - интеграция с другими сервисами и микросервисами. - ,""3-5 лет на Python проектах / Python 3. - понимание механики языка Python и сопутствующих инструментов (pytest, mypy, poetry, flake8). - """;
413,Django Python разработчик (middle+),ООО ПЛЮС ТДИ,Витебск,1500,3000,[' USD'],Разработка back-end сервисов для финтех приложения с использованием Python/Django/ Django Rest Framework.,Опыт работы с Django в коммерческой разработке. Опыт REST API. Опыт разработки высоконагруженных систем. Опыт работы с git flow. ;
"414,Python Developer,Aston,Минск,Не указанн,Не указанн,Не указанно,Корпоративный портал с материалами для изучения любого нового стека и повышения уровня по своей специальности и не только. ,""Опыт коммерческой разработки на Python от 6-ти лет. Владение одним из фреймворков: AIOHTTP, Sanic, FastAPI, Starlette, Django, Flask. """;
415,Преподаватель выходного дня в школу программирования (Blender/Scratch/Python),ИП Афанасьев Владимир Владимирович,Москва,50000,Не указанн,[' руб.'],Проведение групповых занятий по программированию для детей 7-­14 лет. Формирование у учеников логического мышления и развитие технических творческих способностей. ,Python. 3d моделирование в Blender. Scratch. Опыт работы с детьми (обязательно). Опыт программирования (обязательно). Умение объяснять сложное простыми (иногда...;
"416,Отраслевой аналитик (рынки металлургии/угля),Газпромбанк,Москва,Не указанн,Не указанн,Не указанно,""Помощь в анализе металлургической и угольной промышленности России и мира. Разработка простых скриптов на python для парсинга сайтов, первичной обработки..."",""Высшее образование либо студент старших курсов экономических, географических или металлургических специальностей. Базовые знания металлургии, владение статистикой, эконометрикой.""";
"417,Ведущий разработчик Python,АО Р-Фарм,Санкт-Петербург,Не указанн,Не указанн,Не указанно,""Код-ревью, управление релизами, менторство и развитие команды разработки, решение организационных задач. Бэкенд пишем на Python 3.10, используя asyncio..."",Отличное владение python 3.6+. Опыт работы с асинхронным кодом с использованием asyncio. Опыт работы с реляционныи базами данных. ";
418,Senior Python developer (MLOps),Wisebits,Тбилиси,3500,Не указанн,[' EUR'],Помогать data scientist-ам с продакшн кодом. Налаживать инфраструктуру и выполнять отдельные небольшие задачи. Погружаться в архитектуру проекта и активно...,Kafka. MySQL. Airflow.;
419,Senior Python developer (MLOps),Wisebits,Турция,3500,Не указанн,[' EUR'],Помогать data scientist-ам с продакшн кодом. Налаживать инфраструктуру и выполнять отдельные небольшие задачи. Погружаться в архитектуру проекта и активно...,Kafka. MySQL. Airflow.;
"420,Full Stack QA (Python),АО ФИНАМ,""Москва, Пушкинская"",Не указанн,Не указанн,Не указанно,""Организация процессов обеспечения качества web приложений. Проведение функционального, регрессионного и интеграционного тестирования. Разработка автоматизированных тестов (API/UI). Тесное взаимодействие с..."",Опыт разработки автоматизированных API/UI тестов на Python от 6 месяцев. Опыт тестирования REST API сервисов – от 1 года. ";
421,Преподаватель IT дисциплин,АЙТИ ШАГ,Минск,Не указанн,Не указанн,Не указанно,Направления: - Web разработка на языке Python. - Автоматизированное тестирование на Python.,Практический опыт применения технологий не менее 2-х лет. Желание развиваться как спикер. Отличные коммуникационные навыки. Опыт преподавания или менторство...;
"422,Преподаватель Python / Преподаватель в школу программирования Алгоритмика,Алгоритмика::Оренбург (ИП Хусаинова Юлия Сергеевна),Оренбург,50000,Не указанн,[' руб.'],Увлеченную команду преподавателей и руководства.,""Выпускников или в том числе студентов последних курсов технических и\или педагогических ВУЗов (образование: техническое, математическое, физическое, информатика), любящих детей...""";
"423,""Преподаватель программирования Python, Unity, Scratch, Roblox"",Алгоритмика в Петроградском районе Санкт-Петербурга,""Санкт-Петербург, Горьковская и еще 2 "",15000,40000,[' руб.'],проводить занятия с применением методических материалов и подходов Алгоритмики. – создавать и поддерживать атмосферу дружеской командной работы среди учеников. – ,""выпускников технических или педагогических ВУЗов (образование: техническое, экономическое, математическое, физическое, информатика), любящих детей и готовых сделать для них программирование простым...""";
"424,""Педагог программирования для детей (Scratch, Minecraft, Python)"",""ТОО Universal Appraiser, ТОО"",Алматы,200000,40000,[' KZT'],Дети научатся писать коды на языке Python в увлекательной игре Minecraft. Используя специальную библиотеку для рисования turtle и игру Minecraft...,Опыт программирования и работы в 3D-моделировании (Game Design). Опыт педагогики. Любовь к детям. Вы вдохновляетесь от обучения.";
"425,QA Engineer (Python + pytest),EXANTE,Турция,Не указанн,Не указанн,Не указанно,формализация тестовой базы в TMS (Qase). - заведение баг-репортов (Jira). - разработка и актуализация комплекса автотестов (в перспективе). - язык программирования: Python...,""QA инженер с опытом как ручного, так и автоматизированного тестирования (фронт+бэк+дата тестирование). Умение работать в bash и базами данных. """;
"426,Преподаватель программирования,Школа программирования МаксиПрофIT,Санкт-Петербург,40000,Не указанн,[' руб.'],Проведение онлайн-занятий. Следить за вовлеченностью учеников в учебный процесс. Давать обратную связь методистам.,""Знания основ программирования. Базовые знания синтаксиса языка Python, scratch. Умение объяснять материал детям. Желательно опыт работы с детьми.""";
427,Backend Developer (Python),Andersen,Тбилиси,Не указанн,Не указанн,Не указанно,Supporting SAAS web applications by designing performant APIs. Scaling up data pipelines to operate on a range of financial products. ,Commercial experience as a Python Developer for 3+ years. Knowledge of object-oriented principles and other Python coding patterns. ;
"428,Backend-разработчик Django,ТОО SilkwayTransit,Астана,Не указанн,Не указанн,Не указанно,""Участие во всем жизненном цикле приложения, уделяя особое внимание кодированию и отладке. Устранение неполадок и отладка приложений. Выполнение тестов пользовательского..."",""Глубокое понимание всего процесса веб-разработки (дизайн, разработка и развертывание). Практический опыт работы с Python/Django на уровне эксперта. """;
429,Преподаватель Python,ИП Nikolai Afanasev,Батуми,320,400,[' GEL'],Составления презентаций. Проведение лекций. Проверка домашних заданий.,Опыт коммерческой разработки на Python 1+ лет. Опыт преподавания.;
430,Программист Python,ООО ЧК ARTEMIS LTD.,Астана,1000000,1700000,[' KZT'],Развитие текущих и разработка новых сервисов. Анализ бизнес-требований. Разработка бизнес-логики приложений в виде RESTful сервисов. Участие в проектировании...,Уверенное знание Python 2/3 от 3 лет. Опыт разработки Django. Опыт разработки RESTful backend на Python 3. ;
"431,""Python developer (Стажер, Web разработка)"",ООО Оверван,Минск,Не указанн,Не указанн,Не указанно,Back-End: Front-End: Пропуск встречи с ментором - выбывание!,4. celery. 5. postgresql. 8. restapi. 1. JS/html/css. (Обязательно!) Сертификат об окончании обучения в компании IT OVERONE!";
"432,Backend Python Developer,ТОО Dreamlab Technologies Ltd,Астана,200000,400000,[' KZT'],Разработка web части сайтов на Django. - Разработка REST сервисов на DRF. - Разработка Async сервисов. - Разработка клиентов для работы со сторонними...,""Понимание или опыт работы с Frontend фреймворками. - Понимание асинхронности (async-await, asyncIO). Умение, и главное, желание создавать pythonic code. """;
433,Python Middle/Senior разработчика,ТОО Sapona inc,Алматы,Не указанн,Не указанн,Не указанно,Система распознавания лиц (HOG). Распознавание эмоций и движений головой (на существующих библиотеках). Вывод данных через Web интерфейс.,Требования к соискателю не указанны;
"434,IT разработчик,ТОО Алатау сапа құрылыс,Алматы,Не указанн,Не указанн,Не указанно,""Разработка скриптов, автоматизация процессов. Доработка ПО. Поддержка сервисов и продуктов."",""Опыт работы на Python, JavaScript, Selenium WebDriver. На договорной основе.""";
"435,Ментор по Python,ADA,Бишкек,30000,Не указанн,[' KGS'],Проводить занятия. Улучшение программы обучения. Проведение экзаменов. Проверка домашних заданий. Оценка успеваемости студента. Совместная работа с ассистентами.,""Опыт программирования на Python от 2x лет. Знание алгоритмов и структур данных. Отличное знание инструментов Django, DRF, GIT, NGINX. """;
"436,Преподаватель по программированию Python,ИП Descartes Kazakhstan,""Алматы, Байконур"",3500,7000,[' KZT'],Ведение занятий и мастер-классов по программированию в «Инжинириум МГТУ им. Н.Э. Баумана». Подготовка обучающихся к различным конкурсам и...,""Python: Знание базовых алгоритмов и структур данных, Python (все версии выше 3.0), ООП, SQLite, Git (GitHub). Работа в Google...""";
437,Backend разработчик,Nextgen IT,Самарканд,3000000,10000000,[' сум'],Разработка back-end на Python (Django). Написание документации. Поддержка существующего проекта.,Опыт работы с системами контроля версий Git. Понимание базовых паттернов разработки. Опыт работы с реляционными базами данных и ORM. ;
"438,Python developer,ООО Kash APP,Ташкент,8000000,18000000,[' сум'],""Road24ni takomillashtirish va uni """"horizontal scaling"""" arhitekturasiga olib kelish rejalashtiriligan. Shu kabi ish qilgan dasturchi qidirilmoqda. "",""SQL so'rovlarini yozish, PostgreSQL, bilan ishlash va sozlash tajribasi. - Python, Django va\yoki boshqa framework bilan 3 yil real...""";
439,Дата-инженер (Data-engineer),ТОО INTER SAT,Астана,200000,400000,[' KZT'],Анализ данных. Подготовка сложных выгрузок с использованием SQL и Python. Разработка ETL- процессов. Разработка структуры данных в колончатой СУБД (курирование...,Опыт работы с различными БД. Владение Python и/или Java. Знание и понимание алгоритмов и принципов обработки данных. ;
"440,Преподаватель программирования,ИП Корнюшко И.В.,Гомель,Не указанн,Не указанн,Не указанно,проведение занятий для детей в небольших группах до 12 человек. Коммуникация с родителями. Отчеты о посещаемости.,""Знание одного из языков программирования (Python, Pascal, Основы Frontend разработки (html/css + javascript), Scratch, Uniti). Знания методик преподавания или...""";
"441,Преподаватель по IT,ТОО Образовательный центр «Bilim Upgrade»,Астана,250000,400000,[' KZT'],Знать языки программирования. Веб-разработка. Программирование для младших классов. Системное администрирование и компьютерные сети.,""Обязательное знание языка программирования Scratch. Обязательное знание языка программирования Python. HTML, CSS, JavaScript. Работа репетитором или преподавателем на курсах будет...""";
"442,Full-stack developer,ООО Digital Reputation,Москва,Не указанн,Не указанн,Не указанно,""Backend – бэкенд на Python / Django, и REST API поверх этого. Frontend – фронтенд на Vue.js. Postgre SQL. Написание кода (frontend и..."",Опыт разработки проектов на Python и знание современных фреймворков – экспертиза в Python одно из ключевых требований. Умение грамотно балансировать между...";
"443,Системный администратор Linux,""А1. Информационные технологии, телеком"",Минск,Не указанн,Не указанн,Не указанно,Обеспечение бесперебойной работы IT-инфраструктуры. Техническая поддержка и сопровождение сервисов (администрирование). Настройка и введение в эксплуатацию новых сервисов. ,""Опыт в написание скриптов на python, bash. Знание и понимание принципов работы центров сертификации (CA). Знание и понимание принципов балансировки...""";
"444,Методист в iT/Программист-методист,ТОО Morrison Code Academy,Алматы,150000,350000,[' KZT'],Создание образовательных курсов по программированию для детей. - Формирование учебного плана совместно с автором курса. - Поиск и анализ необходимого контента в...,""Имеете опыт работы в программировании (Python, JavaScript). - Знакомы со Scratch(будет преимуществом).""";
"445,Руководитель направления продуктовой аналитики мобильного и интернет-банка, Альфа-Банк,""Москва, Технопарк"",Не указанн,Не указанн,Не указанно,""Необходимо выстраивать регулярную управленческую, сквозную отчетность по интернет- и мобильному банку для различных продуктовых команд. Помимо регулярной отчетности внедрять инструменты..."",""...работы с базами данных (Google BigQuery, Oracle, Hadoop, Vertica). Знание инструментов для автоматизации сбора, статистической обработки сырых данных (R/Python).""";
"446,Программист,ООО Простоэнерджи,Москва,120000,Не указанн,[' руб.'],Проектирование программных модулей для прошивок микроконтроллеров. Интеграция программных модулей в прошивку. Отладка взаимодействия микроконтроллерных устройств между собой. Проектирование тестового и...,""Знание систем сборки make, CMake, waf. Знание языка Python. Знание интерфейсов CAN, Ethernet, SPI, I2C. Понимание стеков USB...""";
"447,Инженер по внедрению,ЦРТ | Группа компаний,""Москва, Курская и еще 3 "",Не указанн,Не указанн,Не указанно,Системы записи и речевой аналитики. - Системы голосовой биометрии. - Системы голосовых и текстовых роботов. - NLP \ NLU. ВАШИ ЗАДАЧИ: Проектирование архитектуры решения...,""Опыт автоматизации, написания скриптов (bash, PowerShell, python). Опыт работы с серверным оборудованием и системами виртуализации (VmWare и другие) будет плюсом. """;
"448,Инженер по сопровождению проектов,ЦРТ | Группа компаний,Санкт-Петербург,Не указанн,Не указанн,Не указанно,""Проектирование архитектуры решения";" разворачивание системы на серверном оборудовании или в виртуальных средах, конфигурирование и настройка модулей ПО. Настройка интеграции со..."",""...языка SQL (MS SQL, PostgreSQL). Будет плюсом: Опыт автоматизации, написания скриптов (bash, PowerShell, python). Опыт настройки систем мониторинга (Zabbix, Nagios)."""
"449,SRE,СБЕРКОРУС,Санкт-Петербург,Не указанн,Не указанн,Не указанно,""Проектирование, реализация и сопровождение средств автоматизации рутинных задач, средств аудита и распространения настроек. Определение SLI в продуктах, поиск узких мест..."",""Использует в своей работе принципы IaC. Владеет скриптовыми языками программирования (Bash, PowerShell, CMD). Использует Python в качестве основного языка для...""";
"450,Финансовый аналитик (Middle/Senior/Lead),ООО Тагес Джамп,""Москва, Автозаводская и еще 2 "",Не указанн,Не указанн,Не указанно,Финансовый анализ результатов деятельности. Финансовая и управленческая отчетность. Автоматизация бизнес-процессов учета и контроля-бюджета. Операционные отчеты. Построение системы бюджетирования...,""Аналитический склад ума. Высшее (математическое, техническое, инженерное, физическое) образование. Хорошее знание Excel. Знание 1С, SQL, BI инструментов. """;
"451,TechLead Cloud Infrastructure/Senior Software Developer,Сбер для экспертов,Москва,Не указанн,Не указанн,Не указанно,""базы данных: Postgres, Clickhouse. - взаимодействия: REST API, JSON, Kafka, gRPC. - разработка: Python, Ansible, GO. Активно участвовать в развитии и поддержке..."",Знания и навыки: Отличные знания и опыт разработки на Python (используем Python 3.6 и 3.7). Опыт работы с...";
"452,Java-разработчик (Senior),СБЕРКОРУС,Санкт-Петербург,Не указанн,Не указанн,Не указанно,""СберКорус сегодня — разработчик и провайдер облачных сервисов для автоматизации процессов управления цепочками поставок и взаиморасчетов, поставщик 1 для Сбера по..."",""Понимание работы и опыт применения поисковых движков: ElasticSearch. Знание других языков программирования: python 2.7+, java 11, js ES...""";
"453,Специалист службы поддержки с техническими знаниями (TOOLS),Яндекс,Санкт-Петербург,15000,39000,[' руб.'],""Отвечать на сообщения пользователей по почте и в чатах. Консультировать их о вопросах, связанных с Яндексом. Передавать информацию разработчикам и..."",""Умеете читать языки JavaScript, HTML и Python. Имеете высшее или неоконченное высшее образование (техническое будет плюсом). Помогали людям онлайн. """;
"454,Специалист службы поддержки с техническими знаниями (TOOLS),Яндекс,Москва,15000,39000,[' руб.'],""Отвечать на сообщения пользователей по почте и в чатах. Консультировать их о вопросах, связанных с Яндексом. Передавать информацию разработчикам и..."",""Умеете читать языки JavaScript, HTML и Python. Имеете высшее или неоконченное высшее образование (техническое будет плюсом). Помогали людям онлайн. """;
"455,Специалист службы поддержки с техническими знаниями (TOOLS),Яндекс,Новосибирск,15000,39000,[' руб.'],""Отвечать на сообщения пользователей по почте и в чатах. Консультировать их о вопросах, связанных с Яндексом. Передавать информацию разработчикам и..."",""Умеете читать языки JavaScript, HTML и Python. Имеете высшее или неоконченное высшее образование (техническое будет плюсом). Помогали людям онлайн. """;
"456,Junior+ DevOps инженер,СИГМА,Москва,Не указанн,Не указанн,Не указанно,""Поддержка серверов на базе ОС Windows Server (2008, 2012, 2016, 2019), Linux (CentOS, Ubuntu). Контроль и поддержка веб серверов (Apache..."",""Владение языком программирования Python. Опыт профилирования и оптимизации JVM, опыт администрирования Hotspot или JRockit. Знание систем автоматизации сборок проектов Maven...""";
"457,Python Backend Developer (Senior/Remote),JetLend,Москва,300000,Не указанн,[' руб.'],""Доработка ключевых компонентов системы: личные кабинеты, админка, мобильное приложение, интеграции с внешними источниками, уведомления и т.д. Интеграция с разработчиками..."",Умение писать юнит-тесты. Опыт промышленной разработки на Python от 2 лет. Опыт работы с очередями задач (Celery). ";
"458,Разработчик C++ (НИОКР),АО Эшелон Технологии,Москва,125000,Не указанн,[' руб.'],Сопровождение и рефакторинг текущего ПО. Разработка (добавление) новых функций.,""Хорошие знания Linux/POSIX. Базовые знания TCP/IP, SQL и SSH. Опыт использования регулярных выражений. Опыт разработки на Golang, Python...""";
"459,""Fullstack developer (python, vue.js)"",Skipp.pro,Москва,Не указанн,Не указанн,Не указанно,""Разработка платформы с 0. Написание модульного, читаемого и тестируемого кода."",""Уровень Middle-Middle+ (от 3 лет): Знание Python, Vue JS. Опыт написания телеграмм ботов. Опыт работы с API соц сетей...""";
"460,Data Engineer Middle+ (Удаленно),ООО Напа Лабс,Пермь,Не указанн,Не указанн,Не указанно,""Написание\оптимизация batch, streaming pipelined. Разработка\подготовка источников и хранилищ данных. Автоматизация , оркестрация, мониторинг дата процессинга."",""Опыт продуктовой разработки Python/Scala/Java от года. Опыт написания data pipelines, batch, streaming jobs. Знание SQL на уровне DML...""";
"461,Senior Python разработчик,ANABAR,Санкт-Петербург,Не указанн,Не указанн,Не указанно,""Разрабатывать многопоточный нагруженный (тысячи RPS) скрапер данных на AWS-like (yandex cloud) стеке. Источников данных не много, но они очень..."",""Умеет работать в сжатых сроках и отвечать за свой результат. Имеет знания python, паттернов проектирования на микросервисной архитектуре, SQL, Unix...""";
"462,""Ведущий инженер-программист (python, С/C++)"",Контур,Нижний Новгород,Не указанн,Не указанн,Не указанно,Реализация новой функциональности и поддержка текущей. 2. Миграция Linux-агента с python 2 на python 3. 3. Организация процессов тестирования...,Какой опыт нам нужен. Опыт разработки сервисов на python и С/С++ в роли ведущего инженера-программиста. Знание и понимание...";
"463,Руководитель группы разработки Python,Star-Staff,Москва,Не указанн,Не указанн,Не указанно,Руководство командой разработки. Подбор команды разработчиков. Взаимодействие с группой компьютерного зрения (внедрение алгоритмов машинного зрения в разрабатываемые продукты). ,""Руководство командой разработки от 1 года. Опыт разработки Python от 3 лет в роли (фреймфорки TensorRT, Keras и подобные). """;
"464,Разработчик BI,ООО Медиапоинт,Москва,Не указанн,Не указанн,Не указанно,""Анализ данных/проверка качества данных. Сбор больших объёмов данных из различных источников(ETL). Работа с хранилищем данных. Модернизация, оптимизация и..."",""Хорошее знание Power BI (DAX, Power Query, М, построение визуализаций). Опыт работы с большими моделями в Power BI. Знание Python.""";
"465,DevOps middle+ специалист,LoyaltyPlant,Санкт-Петербург,200000,250000,[' руб.'],""Текущие задачи: Отслеживание и оперативная обработка внештатных ситуаций. Деплой новых версий. Поддержка сред разработки и тестирования. Развитие мониторинга, автоматизации, отказоустойчивости..."",""Основные инструменты: Ansible. Nginx, LetsEncrypt, LXD, iptables, Gitlab, Nexus. Релевантный опыт работы от 3 лет. Опыт работы с основными инструментами...""";
"466,Специалист сопровождения бизнес приложений / IT Engineer / IT Front Office Support Sp / DevOps,Renaissance Capital,""Москва, Деловой центр и еще 1 "",Не указанн,Не указанн,Не указанно,Работать в команде развития и сопровождения фронт офисных сервисов и приложений на 1-ой и 2-ой линии. ,Очень ответственный и системный человек. Умеете взаимодействовать с разными людьми и решать проблемы любой сложности. Любите обучаться всему новому и...";
467,Data Engineer,Aviasales.ru,Москва,Не указанн,Не указанн,Не указанно,Там порядка 40 тысяч строк на Python 3.8 и 3 тысячи на TypeScript (это админка). Критическая функциональность покрыта тестами...,Опыт работы инженером данных от 3 лет. Отличное знание Python и SQL. Опыт с AWS или опыт с Apache Impala.;
"468,RND Developer,ООО Новые Технологии,""Санкт-Петербург, Петроградская"",Не указанн,Не указанн,Не указанно,""Мы развиваем платформу APPTICA - международный продукт, B2B аналитика для изучения рынка мобильных приложений. Apptica предоставляет данные о строении..."",""Увлеченных людей с опытом Reverse Engineering, Software Analysis и анализа сетевых протоколов. С опытом коммерческой разработки, умеющего писать быстрый код.""";
"469,Backend Developer (В команду компьютерного зрения),""VK, ВКонтакте"",""Санкт-Петербург, Гостиный двор и еще 1 "",Не указанн,Не указанн,Не указанно,""Писать статьи о своих достижениях. Классификация, детектирование и сегментация объектов на фото и видео. Дополненная реальность. Контентный анализ: автотегирование, классификация..."",Хорошо программируете на Java или C++. Готовы изучить основы KPHP. Разбираетесь в способах межсервисного взаимодействия и принципах работы сетевых протоколов. ";
"470,DevOps (FinTech) || Remote,ООО Пэйлер,Москва,200000,250000,[' руб.'],""Сопровождение и развитие CI/CD pipelines. Работа над улучшением инфраструктуры мониторинга и алертинга (Prometheus, Grafana, etc.). Актуализация и своевременное документирование..."",""Опыт работы со скриптовыми языками (bash, python, etc.). Знакомство с PCI DSS. Опыт работы с облачными провайдерами и инструментами (Terraform...""";
"471,Senior Python Developer,YADRO,Нижний Новгород,Не указанн,Не указанн,Не указанно,""Разработкой и поддержкой библиотек/фреймворков для задач автоматизированного тестирования сетевого оборудования (L2+, L3). Разработкой подсистемы сервисов для..."",Уверенного владения Python3.9 с упором на сетевое программирование. Знания шаблонов проектирования и умения их применять. Опыт работы с...";
